[ Valid | 154/200 ] loss = 2.8642, acc = 0.36404, best_acc = 0.382
[ Train | 155/200 ] loss = 2.0693, best_acc = 0.382
[ Valid | 155/200 ] loss = 2.9192, acc = 0.35978, best_acc = 0.382
[ Train | 156/200 ] loss = 2.0655, best_acc = 0.382
[ Valid | 156/200 ] loss = 2.8723, acc = 0.36222, best_acc = 0.382
[ Train | 157/200 ] loss = 2.0707, best_acc = 0.382
[ Valid | 157/200 ] loss = 2.8972, acc = 0.35146, best_acc = 0.382
[ Train | 158/200 ] loss = 2.0652, best_acc = 0.382
[ Valid | 158/200 ] loss = 2.8658, acc = 0.36648, best_acc = 0.382
[ Train | 159/200 ] loss = 2.0571, best_acc = 0.382
[ Valid | 159/200 ] loss = 2.9599, acc = 0.34720, best_acc = 0.382
[ Train | 160/200 ] loss = 2.0685, best_acc = 0.382
[ Valid | 160/200 ] loss = 2.9293, acc = 0.36242, best_acc = 0.382
[ Train | 161/200 ] loss = 2.0652, best_acc = 0.382
[ Valid | 161/200 ] loss = 2.8578, acc = 0.36445, best_acc = 0.382
[ Train | 162/200 ] loss = 2.0646, best_acc = 0.382
[ Valid | 162/200 ] loss = 2.8857, acc = 0.35552, best_acc = 0.382
[ Train | 163/200 ] loss = 2.0582, best_acc = 0.382
[ Valid | 163/200 ] loss = 2.8797, acc = 0.36201, best_acc = 0.382
[ Train | 164/200 ] loss = 2.0514, best_acc = 0.382
[ Valid | 164/200 ] loss = 2.9239, acc = 0.33847, best_acc = 0.382
[ Train | 165/200 ] loss = 2.0465, best_acc = 0.382
[ Valid | 165/200 ] loss = 2.8981, acc = 0.34923, best_acc = 0.382
[ Train | 166/200 ] loss = 2.0573, best_acc = 0.382
[ Valid | 166/200 ] loss = 2.9926, acc = 0.34294, best_acc = 0.382
[ Train | 167/200 ] loss = 2.0398, best_acc = 0.382
[ Valid | 167/200 ] loss = 2.8526, acc = 0.34700, best_acc = 0.382
[ Train | 168/200 ] loss = 2.0546, best_acc = 0.382
[ Valid | 168/200 ] loss = 2.8527, acc = 0.36465, best_acc = 0.382
[ Train | 169/200 ] loss = 2.0567, best_acc = 0.382
[ Valid | 169/200 ] loss = 2.8768, acc = 0.36425, best_acc = 0.382
[ Train | 170/200 ] loss = 2.0323, best_acc = 0.382
[ Valid | 170/200 ] loss = 2.9180, acc = 0.35390, best_acc = 0.382
[ Train | 171/200 ] loss = 2.0392, best_acc = 0.382
[ Valid | 171/200 ] loss = 2.8428, acc = 0.37074, best_acc = 0.382
[ Train | 172/200 ] loss = 2.0379, best_acc = 0.382
[ Valid | 172/200 ] loss = 2.8556, acc = 0.35349, best_acc = 0.382
[ Train | 173/200 ] loss = 2.0231, best_acc = 0.382
[ Valid | 173/200 ] loss = 2.8782, acc = 0.35572, best_acc = 0.382
[ Train | 174/200 ] loss = 2.0314, best_acc = 0.382
[ Valid | 174/200 ] loss = 2.8069, acc = 0.37500, best_acc = 0.382
